,year,avg.temp,precipitation,humidity,pressure,windspd,max.temp,bloom_doy
1,1997,51.5709948014359,0,77.0129487503648,29.0732386566069,5.64656630168401,174,81
2,1998,51.3513301170551,0,76.7823975213818,29.0728708307786,6.0639318454544,99,90
3,1999,51.519500287816,0,80.7032843786661,29.0317052756386,6.01710114781166,90,94
4,2000,52.7352779285539,0,78.4803445481129,29.0334501801413,5.93850898395185,95,92
5,2001,51.4807440654657,0,78.4027829078025,29.0624253751897,5.82410486141185,95,89
6,2002,52.5922812923506,0,78.6301637321083,29.0520544091626,5.80393497236252,95,77
7,2003,52.9725245538967,0,71.6487763806722,29.0965625565567,5.53875676084296,102,92
8,2004,52.7719033122073,0,74.60895657516,29.0918505088412,5.81713827054246,91,92
9,2005,51.0626101822013,0,77.6829747248277,29.107661137461,5.53901360297559,95,95
10,2006,51.2880490294863,0,79.3858609562508,29.0946564897337,5.3835268874726,97,111
11,2007,52.1619950352938,0,78.4047848961206,29.0988275738239,5.88170569808849,93,94
12,2008,50.6078563899252,0,78.7258646921666,29.0604972629698,5.51218863034638,91,89
13,2009,51.4324727031648,0,77.580193565689,29.0263891041331,5.57382898604457,97,100
14,2010,49.4000987000062,0,78.7053131467823,28.9903058008144,5.58299099598458,97,98
15,2011,52.3460428441642,0,76.3110806782877,29.1138291048375,5.19033033461091,95,90
16,2012,51.0872796340987,0,76.4905937624409,29.0824175244885,5.69793815470509,95,93
17,2013,50.2087174518172,0,77.876361709752,29.0526221004366,5.64906049525272,100,107
18,2014,53.2786332319807,0,77.5015251920942,29.0318071650006,5.09580434694882,99,84
19,2015,52.9727577800943,0,75.5852054548814,29.1425588151607,5.50676471083266,102,101
20,2016,51.5466848438215,0,79.2445482808643,29.0886699709547,5.301007583239,95,97
21,2017,52.5037339025414,0,75.1311890685698,29.1168991837229,5.92952650127474,95,85
22,2018,54.0708224499246,0,74.2413500607375,29.0466116208312,5.91298334653921,97,98
23,2019,52.7874934000553,0,76.5016058271958,29.0641480118713,6.1693129969711,102,86
24,2020,53.7886906678716,0,73.3107610370676,29.087743465481,6.25187257432171,99,77
25,2021,51.1456066262552,0,78.3305535982872,29.0944025211817,5.74744259603909,91,87
26,2022,54.6576120174786,0,73.7654668629134,29.1222073436843,5.9528729541682,102,85